"seqn","acd010a","acd010b","acd010c","acd040"
130378,1,NA,9,NA
130379,1,NA,NA,NA
130380,NA,NA,NA,2
130381,1,NA,NA,NA
130383,NA,NA,NA,3
130384,NA,NA,NA,1
130385,1,NA,NA,NA
130386,NA,NA,NA,4
130387,1,NA,NA,NA
130388,1,NA,NA,NA
130389,1,NA,NA,NA
130390,1,NA,NA,NA
130391,1,NA,NA,NA
130392,1,NA,NA,NA
130393,1,NA,NA,NA
130394,1,NA,NA,NA
130395,1,NA,NA,NA
130396,1,NA,NA,NA
130397,1,NA,NA,NA
130398,NA,NA,NA,1
130399,1,NA,NA,NA
130400,NA,NA,NA,4
130401,1,NA,NA,NA
130402,1,NA,NA,NA
130403,NA,NA,NA,4
130404,1,NA,NA,NA
130405,1,NA,NA,NA
130406,1,NA,NA,NA
130407,1,NA,NA,NA
130408,1,NA,NA,NA
130409,1,NA,NA,NA
130410,1,NA,NA,NA
130411,1,NA,NA,NA
130412,1,NA,9,NA
130413,NA,NA,NA,2
130414,NA,NA,NA,2
130415,1,NA,NA,NA
130416,NA,NA,NA,2
130417,1,NA,NA,NA
130418,1,NA,NA,NA
130419,1,NA,9,NA
130420,1,NA,NA,NA
130421,NA,NA,NA,5
130422,1,NA,NA,NA
130423,NA,NA,NA,5
130424,1,NA,NA,NA
130425,1,NA,NA,NA
130426,NA,NA,NA,5
130427,1,NA,NA,NA
130429,1,NA,NA,NA
130430,1,NA,NA,NA
130431,NA,NA,NA,2
130432,1,NA,9,NA
130433,1,NA,NA,NA
130434,1,NA,NA,NA
130435,1,NA,NA,NA
130436,1,NA,NA,NA
130437,1,NA,NA,NA
130438,NA,NA,NA,1
130439,1,NA,NA,NA
130440,1,NA,NA,NA
130441,1,NA,9,NA
130442,1,NA,NA,NA
130443,1,NA,NA,NA
130444,1,NA,NA,NA
130445,NA,NA,NA,2
130446,1,NA,NA,NA
130447,1,NA,NA,NA
130448,NA,NA,NA,4
130449,1,NA,NA,NA
130450,1,NA,NA,NA
130451,1,NA,NA,NA
130452,NA,NA,NA,3
130453,1,NA,NA,NA
130454,NA,NA,NA,5
130456,1,NA,NA,NA
130457,1,NA,NA,NA
130458,1,NA,NA,NA
130459,1,NA,NA,NA
130460,1,NA,NA,NA
130461,1,NA,NA,NA
130462,1,NA,NA,NA
130463,1,NA,NA,NA
130464,1,NA,NA,NA
130465,1,NA,NA,NA
130466,NA,NA,9,NA
130467,NA,NA,NA,2
130468,1,NA,NA,NA
130469,1,NA,NA,NA
130470,1,NA,NA,NA
130471,1,NA,NA,NA
130472,1,NA,NA,NA
130473,1,NA,NA,NA
130474,1,NA,NA,NA
130475,1,NA,NA,NA
130476,1,NA,NA,NA
130477,1,NA,NA,NA
130478,1,NA,NA,NA
130479,1,NA,NA,NA
130480,1,NA,NA,NA
130481,1,NA,NA,NA
130482,1,NA,NA,NA
130483,1,NA,NA,NA
130484,1,NA,NA,NA
130485,NA,NA,NA,4
130486,1,NA,NA,NA
130487,1,NA,NA,NA
130488,1,NA,NA,NA
130489,NA,NA,NA,5
130490,1,NA,NA,NA
130491,1,NA,NA,NA
130492,1,NA,NA,NA
130493,1,NA,NA,NA
130494,1,NA,NA,NA
130495,1,NA,NA,NA
130496,1,NA,NA,NA
130497,1,NA,NA,NA
