"seqn","hod051"
130378,10
130379,9
130380,6
130381,4
130382,8
130383,NA
130384,3
130385,8
130386,3
130387,7
130388,6
130389,3
130390,6
130391,5
130392,5
130393,9
130394,7
130395,2
130396,5
130397,4
130398,5
130399,7
130400,3
130401,9
130402,5
130403,6
130404,5
130405,5
130406,5
130407,8
130408,12
130409,9
130410,6
130411,5
130412,5
130413,4
130414,2
130415,1
130416,NA
130417,8
130418,5
130419,6
130420,4
130421,7
130422,5
130423,11
130424,NA
130425,7
130426,3
130427,8
130428,NA
130429,8
130430,6
130431,6
130432,4
130433,11
130434,1
130435,7
130436,6
130437,4
130438,8
130439,5
130440,9
130441,5
130442,4
130443,11
130444,3
130445,2
130446,NA
130447,7
130448,6
130449,5
130450,8
130451,5
130452,NA
130453,8
130454,4
130455,NA
130456,4
130457,3
130458,11
130459,4
130460,9
130461,11
130462,5
130463,7
130464,4
130465,8
130466,5
130467,5
130468,7
130469,6
130470,NA
130471,6
130472,6
130473,1
130474,8
130475,5
130476,4
130477,6
130478,7
130479,3
130480,11
130481,4
130482,NA
130483,5
130484,4
130485,4
130486,12
130487,1
130488,3
130489,4
130490,2
130491,8
130492,8
130493,4
130494,5
130495,2
130496,7
130497,4
130498,3
130499,6
130500,7
130501,4
130502,7
130503,12
130504,6
130505,3
130506,2
130507,5
130508,3
130509,8
130510,7
130511,5
130512,9
130513,6
130514,7
130515,5
130516,4
130517,6
130518,NA
130519,5
130520,3
130521,4
130522,5
130523,8
130524,9
130525,6
130526,7
130527,8
130528,7
130529,NA
130530,9
130531,4
130532,7
130533,8
130534,4
130535,6
130536,4
130537,6
130538,5
130539,5
130540,4
130541,NA
130542,3
130543,3
130544,6
130545,3
130546,NA
130547,10
130548,7
130549,5
130550,7
130551,3
130552,2
130553,6
130554,NA
130555,8
130556,7
130557,6
130558,1
130559,3
130560,4
130561,7
130562,5
130563,6
130564,6
130565,NA
130566,4
130567,4
130568,4
130569,3
130570,5
130571,NA
130572,3
130573,6
130574,4
130575,NA
130576,1
130577,2
130578,4
130579,5
130580,2
130581,4
130582,3
130583,7
130584,6
130585,7
130586,3
130587,10
130588,2
130589,1
130590,5
130591,7
130592,6
130593,6
130594,4
130595,NA
130596,NA
130597,3
130598,5
130599,4
130600,5
130601,5
130602,7
130603,10
130604,5
130605,10
130606,7
130607,6
130608,5
130609,NA
130610,4
130611,8
130612,5
130613,4
130614,NA
130615,4
130616,3
130617,5
130618,6
130619,2
130620,5
130621,6
130622,4
130623,9
130624,5
130625,7
130626,4
130627,8
130628,2
130629,7
130630,4
130631,NA
130632,5
130633,7
130634,6
130635,7
130636,NA
130637,6
130638,8
130639,6
130640,3
130641,7
130642,6
130643,NA
130644,5
130645,2
130646,12
130647,5
130648,10
130649,8
130650,NA
130651,3
130652,10
130653,5
130654,9
130655,4
130656,4
130657,NA
130658,4
130659,NA
130660,7
130661,6
130662,3
130663,5
130664,5
130665,5
130666,6
130667,7
130668,4
130669,5
130670,6
130671,4
130672,6
130673,NA
130674,4
130675,9
130676,6
130677,NA
130678,NA
130679,5
130680,8
130681,NA
130682,5
130683,6
130684,8
130685,5
130686,4
130687,6
130688,9
130689,6
130690,NA
130691,6
130692,2
130693,6
130694,3
130695,6
130696,7
130697,4
130698,4
130699,8
130700,6
130701,8
130702,5
130703,5
130704,2
130705,7
130706,4
130707,4
130708,12
130709,7
130710,4
130711,2
130712,5
130713,6
130714,5
130715,7
130716,4
130717,9
130718,4
130719,5
130720,6
130721,6
130722,5
130723,9
130724,5
130725,11
130726,NA
130727,NA
130728,4
130729,4
130730,8
130731,3
130732,8
130733,7
130734,3
130735,6
130736,NA
130737,8
130738,NA
130739,4
130740,6
130741,4
130742,5
130743,NA
130744,3
130745,7
130746,6
130747,7
130748,5
130749,7
130750,4
130751,3
130752,2
130753,2
130754,3
130755,5
130756,6
130757,6
130758,NA
130759,3
130760,6
130761,4
130762,NA
130763,NA
130764,5
130765,7
130766,4
130767,6
130768,6
130769,7
130770,6
130771,5
130772,5
130773,8
130774,1
130775,7
130776,5
130777,2
130778,7
130779,6
130780,3
130781,3
130782,2
130783,7
130784,3
130785,4
130786,NA
130787,4
130788,5
130789,4
130790,3
130791,9
130792,6
130793,7
130794,6
130795,9
130796,6
130797,5
130798,NA
130799,8
130800,NA
130801,1
130802,8
130803,7
130804,5
130805,4
130806,7
130807,4
130808,NA
130809,5
130810,6
130811,4
130812,5
130813,6
130814,8
130815,4
130816,5
130817,NA
130818,3
130819,4
130820,9
130821,6
130822,6
130823,9
130824,8
130825,6
130826,4
130827,8
130828,6
130829,8
130830,8
130831,8
130832,5
130833,8
130834,1
130835,5
130836,5
130837,5
130838,7
130839,2
130840,3
130841,4
130842,4
130843,3
130844,5
130845,7
130846,5
130847,5
130848,8
130849,4
130850,4
130851,6
130852,6
130853,5
130854,1
130855,4
130856,6
130857,6
130858,NA
130859,6
130860,9
130861,3
130862,4
130863,6
130864,NA
130865,4
130866,9
130867,7
130868,3
130869,5
130870,11
130871,7
130872,NA
130873,7
130874,6
130875,6
130876,6
130877,4
130878,6
130879,11
130880,7
130881,10
130882,5
130883,3
130884,9
130885,8
130886,8
130887,3
130888,8
130889,5
130890,6
130891,5
130892,9
130893,7
130894,3
130895,5
130896,4
130897,77
130898,8
130899,5
130900,7
130901,6
130902,5
130903,5
130904,6
130905,8
130906,4
130907,5
130908,3
130909,7
130910,8
130911,5
130912,4
130913,6
130914,3
130915,5
130916,4
130917,3
130918,5
130919,9
130920,7
130921,1
130922,6
130923,5
130924,7
130925,6
130926,6
130927,8
130928,4
130929,7
130930,8
130931,7
130932,6
130933,4
130934,2
130935,3
130936,6
130937,4
130938,5
130939,5
130940,5
130941,6
130942,NA
130943,4
130944,5
130945,3
130946,7
130947,8
130948,2
130949,7
130950,5
130951,9
130952,6
130953,77
130954,8
130955,9
130956,6
130957,7
130958,3
130959,8
130960,1
130961,7
130962,6
130963,4
130964,3
130965,5
130966,4
130967,NA
130968,5
130969,6
130970,7
130971,9
130972,5
130973,4
130974,NA
130975,4
130976,4
130977,6
130978,6
130979,NA
130980,4
130981,3
130982,6
130983,7
130984,7
130985,3
130986,5
130987,4
130988,6
130989,6
130990,3
130991,5
130992,6
130993,6
130994,3
130995,6
130996,3
130997,4
130998,6
130999,5
131000,4
131001,3
131002,6
131003,NA
131004,2
131005,6
131006,5
131007,5
131008,NA
131009,4
131010,4
131011,3
131012,10
131013,4
131014,6
131015,8
131016,5
131017,5
131018,4
131019,NA
131020,4
131021,7
131022,7
131023,7
131024,9
131025,6
131026,5
131027,NA
131028,10
131029,4
131030,2
131031,NA
131032,7
131033,5
131034,NA
131035,7
131036,4
131037,3
131038,7
131039,7
131040,6
131041,4
131042,5
131043,NA
131044,8
131045,10
131046,8
131047,NA
131048,NA
131049,6
131050,2
131051,2
131052,NA
131053,6
131054,3
131055,5
131056,7
131057,12
131058,7
131059,5
131060,6
131061,4
131062,6
131063,8
131064,6
131065,3
131066,6
131067,NA
131068,6
131069,4
131070,NA
131071,5
131072,NA
131073,7
131074,6
131075,4
131076,6
131077,4
131078,NA
131079,6
131080,10
131081,8
131082,3
131083,4
131084,9
131085,10
131086,3
131087,9
131088,4
131089,4
131090,4
131091,6
131092,5
131093,9
131094,9
131095,6
131096,8
131097,4
131098,4
131099,5
131100,5
131101,NA
131102,3
131103,NA
131104,5
131105,6
131106,7
131107,4
131108,5
131109,2
131110,5
131111,9
131112,4
131113,7
131114,6
131115,NA
131116,3
131117,7
131118,NA
131119,3
131120,3
131121,5
131122,10
131123,4
131124,7
131125,NA
131126,7
131127,5
131128,7
131129,9
131130,4
131131,2
131132,8
131133,6
131134,10
131135,7
131136,8
131137,5
131138,3
131139,8
131140,5
131141,7
131142,4
131143,NA
131144,7
131145,7
131146,NA
131147,8
131148,6
131149,NA
131150,9
131151,7
131152,7
131153,NA
131154,7
131155,5
131156,8
131157,5
131158,5
131159,1
131160,10
131161,3
131162,5
131163,10
131164,NA
131165,6
131166,4
131167,8
131168,NA
131169,5
131170,4
131171,7
131172,5
131173,8
131174,5
131175,8
131176,6
131177,7
131178,4
131179,5
131180,6
131181,8
131182,6
131183,7
131184,8
131185,6
131186,NA
131187,6
131188,3
131189,4
131190,NA
131191,4
131192,3
131193,9
131194,4
131195,5
131196,4
131197,NA
131198,4
131199,7
131200,6
131201,7
131202,9
131203,6
131204,5
131205,8
131206,7
131207,5
131208,7
131209,4
131210,6
131211,9
131212,NA
131213,3
131214,7
131215,4
131216,4
131217,NA
131218,6
131219,5
131220,2
131221,5
131222,5
131223,8
131224,NA
131225,3
131226,7
131227,6
131228,9
131229,6
131230,4
131231,4
131232,NA
131233,11
131234,7
131235,NA
131236,4
131237,3
131238,6
131239,8
131240,3
131241,7
131242,6
131243,4
131244,NA
131245,8
131246,2
131247,7
131248,2
131249,3
131250,4
131251,4
131252,7
131253,6
131254,5
131255,NA
131256,NA
131257,NA
131258,6
131259,7
131260,7
131261,3
131262,7
131263,9
131264,3
131265,6
131266,5
131267,5
131268,7
131269,6
131270,3
131271,5
131272,4
131273,5
131274,4
131275,6
131276,3
131277,NA
131278,6
131279,NA
131280,7
131281,NA
131282,6
131283,4
131284,5
131285,5
131286,5
131287,9
131288,NA
131289,5
131290,NA
131291,8
131292,3
131293,4
131294,7
131295,4
131296,NA
131297,5
131298,5
131299,6
131300,5
131301,1
131302,4
131303,5
131304,6
131305,7
131306,6
131307,7
131308,6
131309,5
131310,12
131311,6
131312,5
131313,NA
131314,9
131315,5
131316,NA
131317,3
131318,6
131319,9
131320,4
131321,5
131322,5
131323,5
131324,5
131325,8
131326,5
131327,4
131328,7
131329,4
131330,7
131331,7
131332,6
131333,6
131334,3
131335,4
131336,5
131337,NA
131338,8
131339,3
131340,5
131341,6
131342,9
131343,5
131344,NA
131345,6
131346,6
131347,6
131348,7
131349,5
131350,5
131351,5
131352,5
131353,7
131354,5
131355,5
131356,NA
131357,9
131358,6
131359,9
131360,5
131361,5
131362,5
131363,4
131364,6
131365,5
131366,6
131367,NA
131368,7
131369,4
131370,6
131371,7
131372,7
131373,9
131374,7
131375,6
131376,9
131377,3
131378,5
131379,10
131380,5
131381,6
131382,6
131383,6
131384,11
131385,NA
131386,6
131387,8
131388,4
131389,6
131390,5
131391,5
131392,12
131393,3
131394,6
131395,3
131396,5
131397,7
131398,NA
131399,8
131400,3
131401,NA
131402,5
131403,8
131404,NA
131405,8
131406,5
131407,NA
131408,8
131409,4
131410,7
131411,5
131412,6
131413,NA
131414,8
131415,4
131416,5
131417,NA
131418,8
131419,6
131420,10
131421,7
131422,11
131423,7
131424,4
131425,6
131426,4
131427,6
131428,6
131429,5
131430,NA
131431,5
131432,11
131433,6
131434,5
131435,10
131436,6
131437,NA
131438,4
131439,6
131440,6
131441,4
131442,1
131443,7
131444,3
131445,7
131446,3
131447,4
131448,11
131449,6
131450,5
131451,6
131452,5
131453,5
131454,4
131455,6
131456,4
131457,5
131458,6
131459,5
131460,7
131461,6
131462,7
131463,5
131464,7
131465,9
131466,7
131467,7
131468,8
131469,3
131470,6
131471,5
131472,8
131473,NA
131474,5
131475,8
131476,5
131477,NA
131478,4
131479,5
131480,NA
131481,10
131482,6
131483,3
131484,9
131485,3
131486,5
131487,10
131488,8
131489,4
131490,3
131491,7
131492,4
131493,5
131494,8
131495,7
131496,4
