"seqn","indfmmpi","indfmmpc","inq300","ind310"
130378,5,3,1,NA
130379,5,3,1,NA
130380,1.4,2,2,1
130381,0.33,1,2,1
130382,4.32,3,1,NA
130383,NA,NA,NA,NA
130384,NA,9,9,NA
130385,4.92,3,1,NA
130386,1.45,2,2,2
130387,1.41,2,1,NA
130388,1.74,2,2,1
130389,5,3,1,NA
130390,0.46,1,2,1
130391,0.94,1,2,1
130392,3.59,3,2,4
130393,5,3,1,NA
130394,4,3,1,NA
130395,0.79,1,2,1
130396,3.65,3,2,5
130397,3.28,3,1,NA
130398,NA,3,2,1
130399,2.03,3,1,NA
130400,0.89,1,2,1
130401,4.16,3,1,NA
130402,5,3,1,NA
130403,5,3,7,NA
130404,4.42,3,1,NA
130405,1.56,2,2,1
130406,2.65,3,2,3
130407,5,3,1,NA
130408,1.02,1,2,2
130409,2.22,3,1,NA
130410,5,3,1,NA
130411,1.73,2,2,4
130412,0.65,1,2,1
130413,0.63,1,2,1
130414,0.95,1,2,1
130415,NA,1,2,1
130416,NA,NA,NA,NA
130417,5,3,1,NA
130418,1.39,2,2,1
130419,1.93,3,2,2
130420,2.45,3,2,1
130421,1.93,3,2,2
130422,3.93,3,1,NA
130423,1.9,3,1,NA
130424,NA,NA,NA,NA
130425,1.85,2,2,1
130426,0,1,2,1
130427,2.16,3,1,NA
130428,NA,NA,NA,NA
130429,NA,3,1,NA
130430,0.16,1,1,NA
130431,0.57,1,1,NA
130432,1.35,2,2,1
130433,5,3,1,NA
130434,0.68,1,2,1
130435,5,3,1,NA
130436,3.93,3,1,NA
130437,0.78,1,2,1
130438,3.93,3,1,NA
130439,3.29,3,2,1
130440,5,3,1,NA
130441,5,3,1,NA
130442,4.77,3,1,NA
130443,0.64,1,9,NA
130444,4.53,3,1,NA
130445,5,3,1,NA
130446,NA,NA,NA,NA
130447,5,3,1,NA
130448,1.54,2,2,3
130449,3.65,3,1,NA
130450,1.65,2,2,1
130451,NA,1,1,NA
130452,NA,NA,NA,NA
130453,1.64,2,1,NA
130454,1.29,1,2,1
130455,NA,NA,NA,NA
130456,1.86,3,2,2
130457,5,3,1,NA
130458,1.07,1,1,NA
130459,0.92,1,2,1
130460,5,3,1,NA
130461,5,3,1,NA
130462,1.08,1,2,1
130463,1.71,2,1,NA
130464,0.6,1,2,1
130465,4.86,3,1,NA
130466,NA,9,9,NA
130467,0.48,1,2,2
130468,5,3,2,3
130469,1.2,1,2,3
130470,NA,NA,NA,NA
130471,1.51,2,2,3
130472,1.85,2,2,1
130473,5,3,1,NA
130474,5,3,1,NA
130475,3.96,3,1,NA
130476,1.81,2,2,2
130477,5,3,1,NA
130478,NA,3,1,NA
130479,0.77,1,2,1
130480,NA,2,2,1
130481,3.41,3,2,2
130482,NA,NA,NA,NA
130483,0.82,1,2,1
130484,2.06,3,2,2
130485,NA,2,7,NA
130486,0,1,1,NA
130487,NA,2,2,1
130488,NA,1,2,1
130489,2.29,3,2,1
130490,0.48,1,2,1
130491,0.9,1,2,1
130492,2.98,3,1,NA
130493,2.43,3,2,5
130494,1.52,2,2,2
130495,1.2,1,2,1
130496,5,3,1,NA
130497,1.65,2,2,1
130498,0.91,1,2,1
130499,2.6,3,2,2
130500,3.62,3,1,NA
130501,2.87,3,2,2
130502,3.65,3,1,NA
130503,2.55,3,1,NA
130504,3.29,3,2,1
130505,0.46,1,2,1
130506,1.99,3,2,1
130507,1.58,2,2,1
130508,0.73,1,2,1
130509,NA,1,2,1
130510,1.47,2,2,1
130511,0.86,1,2,1
130512,NA,1,1,NA
130513,2.73,3,1,NA
130514,NA,3,1,NA
130515,1.91,3,2,4
130516,0.83,1,2,1
130517,1.45,2,1,NA
130518,NA,NA,NA,NA
130519,NA,NA,NA,NA
130520,3.97,3,1,NA
130521,0.87,1,2,1
130522,1.55,2,2,1
130523,5,3,1,NA
130524,0.98,1,2,1
130525,NA,3,1,NA
130526,NA,3,1,NA
130527,3.44,3,1,NA
130528,NA,9,9,NA
130529,NA,NA,NA,NA
130530,0.82,1,1,NA
130531,NA,1,2,1
130532,2.9,3,1,NA
130533,5,3,2,1
130534,2.2,3,2,1
130535,NA,1,2,1
130536,1.81,2,2,5
130537,NA,3,2,3
130538,4.82,3,1,NA
130539,5,3,1,NA
130540,0.93,1,2,1
130541,NA,NA,NA,NA
130542,3.13,3,2,1
130543,NA,1,2,1
130544,3.58,3,1,NA
130545,NA,1,2,99
130546,NA,NA,NA,NA
130547,5,3,1,NA
130548,5,3,2,3
130549,3.86,3,2,2
130550,2.03,3,1,NA
130551,1.82,2,1,NA
130552,NA,1,1,NA
130553,3.24,3,1,NA
130554,NA,NA,NA,NA
130555,5,3,1,NA
130556,1.26,1,1,NA
130557,3.87,3,2,1
130558,1,1,2,1
130559,5,3,1,NA
130560,2.51,3,2,2
130561,NA,9,2,1
130562,0.67,1,2,1
130563,4.62,3,1,NA
130564,0.51,1,2,1
130565,NA,NA,NA,NA
130566,0.71,1,1,NA
130567,1.82,2,2,2
130568,0.93,1,1,NA
130569,1.12,1,2,1
130570,0.66,1,2,2
130571,NA,NA,NA,NA
130572,3.54,3,2,2
130573,NA,9,1,NA
130574,1.54,2,2,2
130575,NA,NA,NA,NA
130576,0,1,2,1
130577,2.03,3,2,1
130578,2.83,3,2,5
130579,1.64,2,1,NA
130580,NA,2,2,1
130581,NA,3,2,1
130582,1.73,2,2,1
130583,1.49,2,1,NA
130584,NA,2,2,1
130585,1.74,2,2,4
130586,0.65,1,1,NA
130587,1.37,2,1,NA
130588,1.56,2,2,1
130589,0.69,1,2,1
130590,3.8,3,2,3
130591,NA,9,2,4
130592,NA,3,1,NA
130593,NA,3,1,NA
130594,0.78,1,2,1
130595,NA,NA,NA,NA
130596,NA,NA,NA,NA
130597,4.47,3,2,1
130598,5,3,1,NA
130599,1.56,2,2,1
130600,NA,1,2,1
130601,5,3,2,3
130602,4.32,3,1,NA
130603,NA,3,1,NA
130604,NA,1,2,1
130605,NA,2,1,NA
130606,3.03,3,1,NA
130607,NA,1,2,1
130608,1.3,1,2,1
130609,NA,NA,NA,NA
130610,NA,9,2,99
130611,NA,3,1,NA
130612,2.29,3,2,1
130613,NA,NA,NA,NA
130614,NA,NA,NA,NA
130615,1.15,1,2,1
130616,5,3,1,NA
130617,5,3,1,NA
130618,5,3,1,NA
130619,1.15,1,2,1
130620,4.42,3,1,NA
130621,5,3,1,NA
130622,1.37,2,2,1
130623,3.62,3,1,NA
130624,NA,1,2,1
130625,3.07,3,2,4
130626,2.43,3,1,NA
130627,3.01,3,1,NA
130628,3.46,3,2,1
130629,NA,3,1,NA
130630,3.91,3,2,2
130631,NA,NA,NA,NA
130632,NA,1,2,1
130633,3.07,3,2,4
130634,2.41,3,2,4
130635,4.1,3,1,NA
130636,NA,NA,NA,NA
130637,5,3,1,NA
130638,1.11,1,2,1
130639,1.4,2,2,1
130640,0.92,1,2,1
130641,2.9,3,2,3
130642,5,3,1,NA
130643,NA,NA,NA,NA
130644,1.35,2,1,NA
130645,0.33,1,2,1
130646,NA,9,2,1
130647,0.92,1,2,1
130648,5,3,1,NA
130649,2,3,2,2
130650,NA,NA,NA,NA
130651,3.8,3,1,NA
130652,NA,2,1,NA
130653,2.4,3,2,1
130654,1.61,2,1,NA
130655,2.86,3,1,NA
130656,0.9,1,2,1
130657,NA,NA,NA,NA
130658,1.54,2,2,1
130659,NA,NA,NA,NA
130660,2.96,3,2,3
130661,2.42,3,2,1
130662,1.56,2,2,1
130663,2.62,3,1,NA
130664,NA,3,2,1
130665,0,1,2,1
130666,3.93,3,1,NA
130667,NA,9,9,NA
130668,1.3,1,2,1
130669,4.69,3,1,NA
130670,1.83,2,2,1
130671,0.26,1,2,1
130672,1.73,2,7,NA
130673,NA,NA,NA,NA
130674,1.77,2,1,NA
130675,NA,3,1,NA
130676,1.65,2,1,NA
130677,NA,NA,NA,NA
130678,NA,NA,NA,NA
130679,1.64,2,2,1
130680,NA,3,1,NA
130681,NA,NA,NA,NA
130682,0.49,1,2,1
130683,5,3,1,NA
130684,2.98,3,1,NA
130685,NA,9,9,NA
130686,1.4,2,7,NA
130687,1.37,2,2,1
130688,2.34,3,1,NA
130689,2.16,3,1,NA
130690,NA,NA,NA,NA
130691,3.89,3,1,NA
130692,3.91,3,2,1
130693,0.92,1,2,1
130694,0.69,1,2,1
130695,1.59,2,2,3
130696,0.15,1,2,1
130697,1.32,2,2,1
130698,1.72,2,2,1
130699,3.6,3,1,NA
130700,0,1,2,1
130701,4.12,3,1,NA
130702,2.81,3,1,NA
130703,0.66,1,2,1
130704,0.93,1,2,1
130705,5,3,1,NA
130706,1.14,1,2,1
130707,4.59,3,1,NA
130708,5,3,1,NA
130709,4.1,3,2,2
130710,2.03,3,1,NA
130711,1.65,2,2,1
130712,0,1,1,NA
130713,5,3,1,NA
130714,0.54,1,2,1
130715,4.66,3,2,1
130716,1.11,1,9,NA
130717,2.47,3,2,3
130718,1.64,2,2,1
130719,NA,1,2,1
130720,1.73,2,2,1
130721,0.43,1,2,1
130722,3.98,3,2,1
130723,5,3,2,2
130724,5,3,1,NA
130725,1.9,3,1,NA
130726,NA,NA,NA,NA
130727,NA,NA,NA,NA
130728,NA,2,2,2
130729,0.86,1,2,1
130730,4.87,3,1,NA
130731,1.69,2,2,1
130732,5,3,1,NA
130733,4.12,3,1,NA
130734,2.65,3,2,1
130735,NA,3,9,NA
130736,NA,NA,NA,NA
130737,4,3,1,NA
130738,NA,NA,NA,NA
130739,0.59,1,2,2
130740,5,3,1,NA
130741,2.87,3,2,2
130742,2.23,3,1,NA
130743,NA,NA,NA,NA
130744,1.69,2,2,1
130745,NA,1,2,1
130746,1.85,2,2,1
130747,NA,7,1,NA
130748,NA,3,7,NA
130749,1.81,2,1,NA
130750,1.16,1,7,NA
130751,NA,1,9,NA
130752,0.75,1,2,1
130753,0,1,2,1
130754,0.1,1,2,1
130755,1.59,2,1,NA
130756,0.46,1,2,1
130757,3.41,3,1,NA
130758,NA,NA,NA,NA
130759,0.81,1,2,1
130760,NA,3,7,NA
130761,2.21,3,2,1
130762,NA,NA,NA,NA
130763,NA,NA,NA,NA
130764,1.65,2,2,1
130765,NA,3,2,2
130766,NA,9,2,99
130767,1.12,1,2,1
130768,1.32,2,1,NA
130769,0.75,1,2,4
130770,2.05,3,1,NA
130771,0.58,1,2,2
130772,3.07,3,1,NA
130773,1.38,2,2,2
130774,0.62,1,2,1
130775,5,3,1,NA
130776,0.25,1,2,1
130777,0,1,2,1
130778,5,3,1,NA
130779,5,3,1,NA
130780,1.74,2,2,1
130781,1.94,3,2,1
130782,5,3,1,NA
130783,0.84,1,2,2
130784,1.3,1,2,1
130785,1.29,1,2,2
130786,NA,NA,NA,NA
130787,2.63,3,1,NA
130788,5,3,1,NA
130789,1.86,3,2,2
130790,NA,2,2,1
130791,3.67,3,1,NA
130792,NA,3,1,NA
130793,NA,3,7,NA
130794,1.98,3,2,1
130795,5,3,1,NA
130796,3.29,3,2,3
130797,5,3,1,NA
130798,NA,NA,NA,NA
130799,NA,3,2,1
130800,NA,NA,NA,NA
130801,0.92,1,2,1
130802,3.93,3,1,NA
130803,2.7,3,2,3
130804,0.92,1,2,1
130805,0.41,1,2,1
130806,1.38,2,1,NA
130807,0,1,2,1
130808,NA,NA,NA,NA
130809,1.34,2,1,NA
130810,0.9,1,2,1
130811,0.47,1,2,1
130812,0.86,1,2,5
130813,0,1,2,1
130814,3.33,3,1,NA
130815,2.3,3,2,1
130816,2.61,3,2,1
130817,NA,NA,NA,NA
130818,NA,3,2,1
130819,0.97,1,2,1
130820,1.84,2,1,NA
130821,4.48,3,1,NA
130822,1.71,2,2,3
130823,1.56,2,1,NA
130824,0.91,1,2,5
130825,1.11,1,1,NA
130826,2.74,3,1,NA
130827,5,3,1,NA
130828,0,1,1,NA
130829,3.34,3,2,4
130830,NA,3,1,NA
130831,5,3,1,NA
130832,1.68,2,2,1
130833,3.85,3,1,NA
130834,NA,2,2,1
130835,4.12,3,1,NA
130836,0.84,1,2,1
130837,2.4,3,2,1
130838,5,3,1,NA
130839,0.92,1,2,1
130840,1.4,2,2,3
130841,1.52,2,1,NA
130842,4.83,3,1,NA
130843,0.88,1,2,4
130844,5,3,2,2
130845,0.61,1,1,NA
130846,0,1,2,1
130847,1.72,2,1,NA
130848,NA,1,2,1
130849,1.3,1,2,1
130850,0.79,1,2,1
130851,5,3,1,NA
130852,NA,3,1,NA
130853,NA,3,1,NA
130854,NA,NA,NA,NA
130855,1.77,2,2,1
130856,3.28,3,1,NA
130857,2.08,3,2,1
130858,NA,NA,NA,NA
130859,1.77,2,1,NA
130860,5,3,1,NA
130861,5,3,1,NA
