age,sex,healthy_sbp,healthy_total_cholesterol,healthy_hdl_c,healthy_non_hdl_c,prevalence_anti_htn_meds,prevalence_statin,prevalence_family_history_mi
30,male,118.72592266176966,199.9724304528284,45,154.9724304528284,0.11709278634496756,0.10051135670477747,0.2039647734871422
31,male,118.98765532353018,199.637082390358,45,154.637082390358,0.11709278634496756,0.10051135670477747,0.2039647734871422
32,male,119.2493879852907,199.30173432788757,45,154.30173432788757,0.11709278634496756,0.10051135670477747,0.2039647734871422
33,male,119.51112064705121,198.96638626541716,45,153.96638626541716,0.11709278634496756,0.10051135670477747,0.2039647734871422
34,male,119.77285330881172,198.63103820294674,45,153.63103820294674,0.11709278634496756,0.10051135670477747,0.2039647734871422
35,male,120.03458597057224,198.29569014047635,45,153.29569014047635,0.11709278634496756,0.10051135670477747,0.2039647734871422
36,male,120.29631863233276,197.96034207800594,45,152.96034207800594,0.11709278634496756,0.10051135670477747,0.2039647734871422
37,male,120.55805129409327,197.62499401553552,45,152.62499401553552,0.11709278634496756,0.10051135670477747,0.2039647734871422
38,male,120.81978395585378,197.28964595306513,45,152.28964595306513,0.11709278634496756,0.10051135670477747,0.2039647734871422
39,male,121.0815166176143,196.9542978905947,45,151.9542978905947,0.11709278634496756,0.10051135670477747,0.2039647734871422
40,male,121.34324927937482,196.6189498281243,45,151.6189498281243,0.11709278634496756,0.10051135670477747,0.2039647734871422
41,male,121.60498194113534,196.28360176565386,45,151.28360176565386,0.11709278634496756,0.10051135670477747,0.2039647734871422
42,male,121.86671460289585,195.94825370318347,45,150.94825370318347,0.11709278634496756,0.10051135670477747,0.2039647734871422
43,male,122.12844726465636,195.61290564071305,45,150.61290564071305,0.11709278634496756,0.10051135670477747,0.2039647734871422
44,male,122.39017992641689,195.27755757824264,45,150.27755757824264,0.11709278634496756,0.10051135670477747,0.2039647734871422
45,male,122.6519125881774,194.94220951577222,45,149.94220951577222,0.11709278634496756,0.10051135670477747,0.2039647734871422
46,male,122.9136452499379,194.6068614533018,45,149.6068614533018,0.11709278634496756,0.10051135670477747,0.2039647734871422
47,male,123.17537791169843,194.2715133908314,45,149.2715133908314,0.11709278634496756,0.10051135670477747,0.2039647734871422
48,male,123.43711057345894,193.93616532836097,45,148.93616532836097,0.11709278634496756,0.10051135670477747,0.2039647734871422
49,male,123.69884323521946,193.60081726589056,45,148.60081726589056,0.11709278634496756,0.10051135670477747,0.2039647734871422
50,male,123.96057589697998,193.26546920342014,45,148.26546920342014,0.11709278634496756,0.10051135670477747,0.2039647734871422
51,male,124.22230855874048,192.93012114094972,45,147.93012114094972,0.11709278634496756,0.10051135670477747,0.2039647734871422
52,male,124.484041220501,192.5947730784793,45,147.5947730784793,0.11709278634496756,0.10051135670477747,0.2039647734871422
53,male,124.74577388226152,192.2594250160089,45,147.2594250160089,0.11709278634496756,0.10051135670477747,0.2039647734871422
54,male,125.00750654402202,191.9240769535385,45,146.9240769535385,0.11709278634496756,0.10051135670477747,0.2039647734871422
55,male,125.26923920578254,191.5887288910681,45,146.5887288910681,0.11709278634496756,0.10051135670477747,0.2039647734871422
56,male,125.53097186754306,191.25338082859767,45,146.25338082859767,0.11709278634496756,0.10051135670477747,0.2039647734871422
57,male,125.79270452930358,190.91803276612728,45,145.91803276612728,0.11709278634496756,0.10051135670477747,0.2039647734871422
58,male,126.0544371910641,190.58268470365684,45,145.58268470365684,0.11709278634496756,0.10051135670477747,0.2039647734871422
59,male,126.3161698528246,190.24733664118645,45,145.24733664118645,0.11709278634496756,0.10051135670477747,0.2039647734871422
60,male,126.57790251458512,189.91198857871603,45,144.91198857871603,0.11709278634496756,0.10051135670477747,0.2039647734871422
61,male,126.83963517634564,189.57664051624562,45,144.57664051624562,0.11709278634496756,0.10051135670477747,0.2039647734871422
62,male,127.10136783810614,189.2412924537752,45,144.2412924537752,0.11709278634496756,0.10051135670477747,0.2039647734871422
63,male,127.36310049986668,188.90594439130479,45,143.90594439130479,0.11709278634496756,0.10051135670477747,0.2039647734871422
64,male,127.62483316162718,188.57059632883437,45,143.57059632883437,0.11709278634496756,0.10051135670477747,0.2039647734871422
65,male,127.88656582338768,188.23524826636395,45,143.23524826636395,0.11709278634496756,0.10051135670477747,0.2039647734871422
66,male,128.14829848514822,187.89990020389354,45,142.89990020389354,0.11709278634496756,0.10051135670477747,0.2039647734871422
67,male,128.41003114690872,187.56455214142312,45,142.56455214142312,0.11709278634496756,0.10051135670477747,0.2039647734871422
68,male,128.67176380866925,187.2292040789527,45,142.2292040789527,0.11709278634496756,0.10051135670477747,0.2039647734871422
69,male,128.93349647042976,186.8938560164823,45,141.8938560164823,0.11709278634496756,0.10051135670477747,0.2039647734871422
70,male,129.19522913219026,186.5585079540119,45,141.5585079540119,0.11709278634496756,0.10051135670477747,0.2039647734871422
71,male,129.45696179395077,186.22315989154146,45,141.22315989154146,0.11709278634496756,0.10051135670477747,0.2039647734871422
72,male,129.7186944557113,185.88781182907107,45,140.88781182907107,0.11709278634496756,0.10051135670477747,0.2039647734871422
73,male,129.9804271174718,185.55246376660065,45,140.55246376660065,0.11709278634496756,0.10051135670477747,0.2039647734871422
74,male,130.24215977923234,185.21711570413024,45,140.21711570413024,0.11709278634496756,0.10051135670477747,0.2039647734871422
75,male,130.50389244099284,184.88176764165985,45,139.88176764165985,0.11709278634496756,0.10051135670477747,0.2039647734871422
76,male,130.76562510275335,184.54641957918943,45,139.54641957918943,0.11709278634496756,0.10051135670477747,0.2039647734871422
